date,averageReturn
2016-11-02,-0.6860800402904284
2016-11-01,-1.2575308569578398
2016-10-31,-0.858739391693409
2016-10-28,-0.9098067418952219
2016-10-27,-1.2397905331800803
2016-10-26,0.10604997680509687
2016-10-25,-0.21112054251380186
2016-10-24,0.47291840270150776
2016-10-21,0.025272793713524422
2016-10-20,-0.704276224571427
2016-10-19,0.2234249683453977
2016-10-18,0.49183020270418487
2016-10-17,-0.3669783983145279
2016-10-14,-0.42463945399204617
2016-10-13,0.05368842542910559
2016-10-12,0.03702671919384426
2016-10-11,-1.0461399918113816
2016-10-10,0.32869139112413914
2016-10-07,-0.6030045447479934
2016-10-06,-0.2466960274269537
2016-10-05,-0.33451506887505955
2016-10-04,-0.4173815279774221
2016-10-03,-0.02864245782253181
2016-09-30,0.45955473569200994
2016-09-29,-1.1101606139730127
2016-09-28,-0.042005779193380964
2016-09-27,0.3570524242501281
2016-09-26,0.055561368089008065
2016-09-23,-0.6474800014195524
2016-09-22,0.21064095035868072
2016-09-21,0.16235818125877924
2016-09-20,-0.575449844762129
2016-09-19,-0.6853805607461543
2016-09-16,0.4913827487869444
2016-09-15,1.5695115178528698
2016-09-14,0.5966323750574686
2016-09-13,-0.3902928031743679
2016-09-12,2.0749399535257815
2016-09-09,-1.6328114109114948
2016-09-08,-0.6761570762847375
2016-09-07,0.0035364641542535934
2016-09-06,0.3396235746078602
2016-09-02,-0.5195382908839423
2016-09-01,-0.5902963459072468
2016-08-31,0.18415235459890955
2016-08-30,-0.3393419396702091
2016-08-29,-0.26174749888355076
2016-08-26,-0.29391634303915926
2016-08-25,0.03101611193592515
2016-08-24,-0.5965079712399556
2016-08-23,-0.11438923340725733
2016-08-22,-0.1984176975105915
2016-08-19,0.4307336838483553
2016-08-18,0.03910172224231441
2016-08-17,0.1662490753255824
2016-08-16,-0.46344293525330593
2016-08-15,0.36318567309637095
2016-08-12,0.19264142375094223
2016-08-11,-0.07086096982101282
2016-08-10,-0.5486905869586591
2016-08-09,0.19097083597679082
2016-08-08,-0.16161817947151597
2016-08-05,0.7974648424501523
2016-08-04,0.605635617026926
2016-08-03,0.3656131710413745
2016-08-02,-0.46482667560087876
2016-08-01,0.24120289190613065
2016-07-29,0.5925504887107802
2016-07-28,0.6120807089013865
2016-07-27,-0.31741420192387787
2016-07-26,0.26244758347510033
2016-07-25,0.4919381629887896
2016-07-22,0.24986507432632088
2016-07-21,-0.6656578826159586
2016-07-20,0.24058101051714056
2016-07-19,0.11126039027057259
2016-07-18,1.2463575410396093
2016-07-15,-0.42244029962953195
2016-07-14,0.12929893213950577
2016-07-13,-0.5809531187577155
2016-07-12,0.6653770101883925
2016-07-11,0.6879175330220135
